APMC,Commodity,Year,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,month,joined
jalgaon jamod-aasalgaon,pigeon pea (tur),2014,1300,4267,4833,4550,2014-09-01,Buldhana,9,pigeon pea (tur)_jalgaon jamod-aasalgaon
umared,pigeon pea (tur),2014,20,4161,4483,4322,2014-09-01,Nagpur,9,pigeon pea (tur)_umared
kopargaon,maize,2014,59,990,1165,1061,2014-09-01,Ahmadnagar,9,maize_kopargaon
kopargaon,gram,2014,428,2087,2668,2493,2014-09-01,Ahmadnagar,9,gram_kopargaon
umared,gram,2014,612,2526,2789,2657,2014-09-01,Nagpur,9,gram_umared
kopargaon,soybean,2014,216,2954,3247,3138,2014-09-01,Ahmadnagar,9,soybean_kopargaon
newasa,wheat(husked),2014,434,1457,1528,1484,2014-09-01,Ahmadnagar,9,wheat(husked)_newasa
umared,rice(paddy-hus),2014,4017,2000,4463,3231,2014-09-01,Nagpur,9,rice(paddy-hus)_umared
pathardi,sorgum(jawar),2014,5295,1262,1668,1443,2014-09-01,Ahmadnagar,9,sorgum(jawar)_pathardi
pathardi,onion,2014,3370,208,1723,1308,2014-09-01,Ahmadnagar,9,onion_pathardi
umared,sorgum(jawar),2014,4,1775,1775,1775,2014-09-01,Nagpur,9,sorgum(jawar)_umared
rahata,bajri,2014,46,1385,1421,1397,2014-09-01,Ahmadnagar,9,bajri_rahata
rahata,wheat(husked),2014,379,1458,1532,1490,2014-09-01,Ahmadnagar,9,wheat(husked)_rahata
umared,wheat(husked),2014,2807,1500,1844,1672,2014-09-01,Nagpur,9,wheat(husked)_umared
rahata,sorgum(jawar),2014,45,1381,1440,1382,2014-09-01,Ahmadnagar,9,sorgum(jawar)_rahata
rahata,maize,2014,8,1475,1475,1475,2014-09-01,Ahmadnagar,9,maize_rahata
savner,soybean,2014,137,2687,2966,2826,2014-09-01,Nagpur,9,soybean_savner
rahata,gram,2014,79,2475,2617,2550,2014-09-01,Ahmadnagar,9,gram_rahata
nagpur,green chilli,2014,3450,2531,3000,2765,2014-09-01,Nagpur,9,green chilli_nagpur
rahata,capsicum,2014,65,1842,2667,2258,2014-09-01,Ahmadnagar,9,capsicum_rahata
rahata,garlic,2014,39,3092,3515,3277,2014-09-01,Ahmadnagar,9,garlic_rahata
nagpur,chillies(red),2014,13733,5038,7019,6029,2014-09-01,Nagpur,9,chillies(red)_nagpur
rahata,bitter gourd,2014,81,2131,2777,2400,2014-09-01,Ahmadnagar,9,bitter gourd_rahata
rahata,onion,2014,73883,440,2070,1405,2014-09-01,Ahmadnagar,9,onion_rahata
kopargaon,sorgum(jawar),2014,38,1396,1416,1416,2014-09-01,Ahmadnagar,9,sorgum(jawar)_kopargaon
savner,wheat(husked),2014,627,1391,1434,1413,2014-09-01,Nagpur,9,wheat(husked)_savner
rahata,carrot,2014,6,1750,1750,1750,2014-09-01,Ahmadnagar,9,carrot_rahata
