APMC,Commodity,Year,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,month,joined,seasonality,detrended,deseasonalised
kopargaon,soybean,2014,2563,3016,3289,3216,2014-11-01,Ahmadnagar,11,soybean_kopargaon,additive,3147.375,3229.9479166666665
kopargaon,soybean,2014,1507,2945,3247,3199,2014-12-01,Ahmadnagar,12,soybean_kopargaon,additive,3183.875,3202.46875
kopargaon,soybean,2015,1058,2898,3267,3233,2015-01-01,Ahmadnagar,1,soybean_kopargaon,additive,3201.5,3217.8020833333335
kopargaon,soybean,2015,710,2979,3208,3186,2015-02-01,Ahmadnagar,2,soybean_kopargaon,additive,3234.25,3183.78125
kopargaon,soybean,2015,631,2820,3194,3160,2015-03-01,Ahmadnagar,3,soybean_kopargaon,additive,3336.0,3173.9479166666665
kopargaon,soybean,2015,329,3244,3590,3517,2015-04-01,Ahmadnagar,4,soybean_kopargaon,additive,3424.125,3520.46875
kopargaon,soybean,2015,379,3213,3781,3729,2015-05-01,Ahmadnagar,5,soybean_kopargaon,additive,3462.125,3713.8020833333335
kopargaon,soybean,2015,426,3186,3457,3395,2015-06-01,Ahmadnagar,6,soybean_kopargaon,additive,3423.125,3392.78125
kopargaon,soybean,2015,220,2996,3308,3255,2015-07-01,Ahmadnagar,7,soybean_kopargaon,additive,3308.25,3268.9479166666665
kopargaon,soybean,2015,95,2983,3136,3110,2015-08-01,Ahmadnagar,8,soybean_kopargaon,additive,3280.375,3113.46875
kopargaon,soybean,2015,187,3011,3242,3217,2015-09-01,Ahmadnagar,9,soybean_kopargaon,additive,3369.375,3201.8020833333335
kopargaon,soybean,2015,1208,3175,3723,3684,2015-10-01,Ahmadnagar,10,soybean_kopargaon,additive,3482.75,3681.78125
kopargaon,soybean,2015,421,3271,3701,3678,2015-11-01,Ahmadnagar,11,soybean_kopargaon,additive,3590.0,3691.9479166666665
kopargaon,soybean,2015,542,3065,3626,3594,2015-12-01,Ahmadnagar,12,soybean_kopargaon,additive,3625.5,3597.46875
kopargaon,soybean,2015,542,3065,3626,3594,2015-12-01,Ahmadnagar,12,soybean_kopargaon,additive,3641.625,3591.78125
kopargaon,soybean,2016,246,3360,3618,3594,2016-02-01,Ahmadnagar,2,soybean_kopargaon,additive,3625.5,3597.46875
kopargaon,soybean,2016,246,3360,3618,3594,2016-02-01,Ahmadnagar,2,soybean_kopargaon,additive,3641.625,3591.78125
kopargaon,soybean,2016,364,3032,3647,3591,2016-01-01,Ahmadnagar,1,soybean_kopargaon,additive,3609.25,3575.8020833333335
