APMC,Commodity,Year,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,month,joined,j_date,cycle,trend
akole,bajri,2014,25,1467,1733,1650,2014-09-01,Ahmadnagar,9,bajri_akole,bajri_akole_2014_9,113.33165202677287,1536.6683479732271
akole,bajri,2014,30,1390,1700,1560,2014-10-01,Ahmadnagar,10,bajri_akole,bajri_akole_2014_10,20.93193543889265,1539.0680645611073
akole,bajri,2014,67,1400,1700,1550,2014-11-01,Ahmadnagar,11,bajri_akole,bajri_akole_2014_11,8.461386568495982,1541.538613431504
akole,bajri,2014,40,1375,1750,1563,2014-12-01,Ahmadnagar,12,bajri_akole,bajri_akole_2014_12,18.83609067341672,1544.1639093265833
akole,bajri,2015,74,1395,1840,1580,2015-01-01,Ahmadnagar,1,bajri_akole,bajri_akole_2015_1,32.96684464488362,1547.0331553551164
akole,bajri,2015,4855,1014,1351,1196,2015-02-01,Ahmadnagar,2,bajri_akole,bajri_akole_2015_2,-354.24732718254495,1550.247327182545
akole,bajri,2015,144,1375,1750,1538,2015-03-01,Ahmadnagar,3,bajri_akole,bajri_akole_2015_3,-15.928004752213155,1553.9280047522132
akole,bajri,2015,52,1357,1800,1525,2015-04-01,Ahmadnagar,4,bajri_akole,bajri_akole_2015_4,-32.975363427975026,1557.975363427975
akole,bajri,2015,9,1375,1900,1775,2015-05-01,Ahmadnagar,5,bajri_akole,bajri_akole_2015_5,212.7203764292849,1562.279623570715
akole,bajri,2015,16,1388,1800,1588,2015-06-01,Ahmadnagar,6,bajri_akole,bajri_akole_2015_6,21.28960406082433,1566.7103959391757
akole,bajri,2015,27,1300,1800,1488,2015-07-01,Ahmadnagar,7,bajri_akole,bajri_akole_2015_7,-83.27024152736749,1571.2702415273675
akole,bajri,2015,12,1400,1800,1625,2015-08-01,Ahmadnagar,8,bajri_akole,bajri_akole_2015_8,49.02497266816067,1575.9750273318393
akole,bajri,2015,13,1400,1800,1563,2015-09-01,Ahmadnagar,9,bajri_akole,bajri_akole_2015_9,-17.788576448185268,1580.7885764481853
akole,bajri,2015,37,1425,1800,1558,2015-10-01,Ahmadnagar,10,bajri_akole,bajri_akole_2015_10,-27.705352579918326,1585.7053525799183
akole,bajri,2015,101,1394,1850,1569,2015-11-01,Ahmadnagar,11,bajri_akole,bajri_akole_2015_11,-21.70870157027025,1590.7087015702703
akole,bajri,2015,37,1350,1850,1619,2015-12-01,Ahmadnagar,12,bajri_akole,bajri_akole_2015_12,23.23534658288895,1595.764653417111
akole,bajri,2016,64,1430,1860,1575,2016-01-01,Ahmadnagar,1,bajri_akole,bajri_akole_2016_1,-25.825670179828876,1600.8256701798289
akole,bajri,2016,39,1433,1833,1575,2016-02-01,Ahmadnagar,2,bajri_akole,bajri_akole_2016_2,-30.858736009424774,1605.8587360094248
akole,bajri,2016,369,1433,1867,1600,2016-03-01,Ahmadnagar,3,bajri_akole,bajri_akole_2016_3,-10.814694013037752,1610.8146940130378
akole,bajri,2016,75,1460,1960,1685,2016-04-01,Ahmadnagar,4,bajri_akole,bajri_akole_2016_4,69.37489941219883,1615.6251005878012
akole,bajri,2016,17,1483,2000,1683,2016-05-01,Ahmadnagar,5,bajri_akole,bajri_akole_2016_5,62.785247052911245,1620.2147529470888
akole,bajri,2016,52,1467,2000,1617,2016-06-01,Ahmadnagar,6,bajri_akole,bajri_akole_2016_6,-7.551807616408041,1624.551807616408
akole,bajri,2016,32,1450,2200,1719,2016-07-01,Ahmadnagar,7,bajri_akole,bajri_akole_2016_7,90.3563380993262,1628.6436619006738
akole,bajri,2016,31,1433,2033,1675,2016-08-01,Ahmadnagar,8,bajri_akole,bajri_akole_2016_8,42.50700677495979,1632.4929932250402
akole,bajri,2016,29,1456,1975,1600,2016-09-01,Ahmadnagar,9,bajri_akole,bajri_akole_2016_9,-36.15895172597425,1636.1589517259742
akole,bajri,2016,114,1444,2000,1594,2016-10-01,Ahmadnagar,10,bajri_akole,bajri_akole_2016_10,-45.72725441917714,1639.7272544191771
akole,bajri,2016,60,1450,1950,1588,2016-11-01,Ahmadnagar,11,bajri_akole,bajri_akole_2016_11,-55.26101897552098,1643.261018975521
akole,paddy-unhusked,2014,119,1450,1900,1681,2014-09-01,Ahmadnagar,9,paddy-unhusked_akole,paddy-unhusked_akole_2014_9,92.0577764501354,1588.9422235498646
akole,paddy-unhusked,2014,103,1425,1900,1669,2014-10-01,Ahmadnagar,10,paddy-unhusked_akole,paddy-unhusked_akole_2014_10,78.24137979102898,1590.758620208971
akole,paddy-unhusked,2014,204,1450,1800,1625,2014-11-01,Ahmadnagar,11,paddy-unhusked_akole,paddy-unhusked_akole_2014_11,32.36744702164151,1592.6325529783585
akole,paddy-unhusked,2014,346,1400,1800,1625,2014-12-01,Ahmadnagar,12,paddy-unhusked_akole,paddy-unhusked_akole_2014_12,30.329541169322283,1594.6704588306777
akole,paddy-unhusked,2015,403,1395,1860,1600,2015-01-01,Ahmadnagar,1,paddy-unhusked_akole,paddy-unhusked_akole_2015_1,3.000995607031882,1596.9990043929681
akole,paddy-unhusked,2015,5432,936,1335,1108,2015-02-01,Ahmadnagar,2,paddy-unhusked_akole,paddy-unhusked_akole_2015_2,-491.76381225549926,1599.7638122554993
akole,paddy-unhusked,2015,129,1400,1850,1613,2015-03-01,Ahmadnagar,3,paddy-unhusked_akole,paddy-unhusked_akole_2015_3,9.88761936920605,1603.112380630794
akole,paddy-unhusked,2015,113,1450,1925,1625,2015-04-01,Ahmadnagar,4,paddy-unhusked_akole,paddy-unhusked_akole_2015_4,18.115144651284936,1606.884855348715
akole,paddy-unhusked,2015,54,1425,1950,1681,2015-05-01,Ahmadnagar,5,paddy-unhusked_akole,paddy-unhusked_akole_2015_5,70.07243799876824,1610.9275620012318
akole,paddy-unhusked,2015,62,1467,2067,1692,2015-06-01,Ahmadnagar,6,paddy-unhusked_akole,paddy-unhusked_akole_2015_6,76.90185185428027,1615.0981481457197
